effect,component,group,term,estimate,std.error,statistic,p.value,model
fixed,cond,NA,(Intercept),1.1584627655810795,0.12210549875333065,9.487392274784678,2.3688599401671248e-21,ADL_random_z-inb
fixed,cond,NA,tchiyr.std,-0.31460094338637296,0.12843140938263106,-2.4495638948342746,0.014302933062147801,ADL_random_z-inb
fixed,cond,NA,SpkrTypeMan,-0.9964050156625197,0.1282311945598607,-7.770379267560978,7.825146726048482e-15,ADL_random_z-inb
fixed,cond,NA,SpkrTypeChild,-0.8881683406505967,0.12400153413228564,-7.162559293041431,7.918460007586325e-13,ADL_random_z-inb
fixed,cond,NA,nsk.std,0.7094455086798775,0.03293953444637257,21.537812255206433,6.888411519012098e-103,ADL_random_z-inb
fixed,cond,NA,group_corpNEUK_English,-0.1850754199561868,0.2671090678407223,-0.6928833283434153,0.48838277294105126,ADL_random_z-inb
fixed,cond,NA,group_corpNEArg_Spanish,0.2713442057807642,0.22157527641052202,1.2246140913214214,0.22072065608846017,ADL_random_z-inb
fixed,cond,NA,group_corpNETseltal,0.18390929756669283,0.21380224241455711,0.8601841378730601,0.3896875470251271,ADL_random_z-inb
fixed,cond,NA,group_corpNEYeli_Dnye,-0.027280780996502257,0.20627881837607615,-0.13225197434845415,0.8947849925320995,ADL_random_z-inb
fixed,cond,NA,SpkrTypeMan:group_corpNEUK_English,0.38048369237281804,0.2808590028471739,1.354714246350343,0.1755086171366944,ADL_random_z-inb
fixed,cond,NA,SpkrTypeChild:group_corpNEUK_English,0.6033800005804711,0.2609914125579851,2.311876834056434,0.020784471688233466,ADL_random_z-inb
fixed,cond,NA,SpkrTypeMan:group_corpNEArg_Spanish,0.3397030748235308,0.22932315405158513,1.4813291585337094,0.13851888208440397,ADL_random_z-inb
fixed,cond,NA,SpkrTypeChild:group_corpNEArg_Spanish,0.17771347205456828,0.21673713398613123,0.8199493496390885,0.412244982160107,ADL_random_z-inb
fixed,cond,NA,SpkrTypeMan:group_corpNETseltal,-0.26826144421764314,0.278006812036519,-0.9649455790399996,0.3345720704566944,ADL_random_z-inb
fixed,cond,NA,SpkrTypeChild:group_corpNETseltal,0.3900411124969158,0.23369057158923012,1.6690494179735715,0.09510758648618194,ADL_random_z-inb
fixed,cond,NA,SpkrTypeMan:group_corpNEYeli_Dnye,-0.09558319723373265,0.2141457836633055,-0.4463463888881185,0.6553470522102729,ADL_random_z-inb
fixed,cond,NA,SpkrTypeChild:group_corpNEYeli_Dnye,-0.20165972513492175,0.20464689389513252,-0.9854033027164268,0.32442600800822624,ADL_random_z-inb
fixed,cond,NA,tchiyr.std:group_corpNEUK_English,0.015087576028585799,0.25646098662193884,0.05882990714227853,0.953087587252038,ADL_random_z-inb
fixed,cond,NA,tchiyr.std:group_corpNEArg_Spanish,0.09807933769503455,0.2512374418131527,0.3903850357144495,0.6962518515850833,ADL_random_z-inb
fixed,cond,NA,tchiyr.std:group_corpNETseltal,0.26808336745388006,0.16854308058378153,1.5905925447981697,0.11170130336300177,ADL_random_z-inb
fixed,cond,NA,tchiyr.std:group_corpNEYeli_Dnye,-0.10651178644087364,0.16741168247071989,-0.6362267248553722,0.5246286566521898,ADL_random_z-inb
fixed,zi,NA,(Intercept),-16.39914017114681,1613.3764787547932,-0.010164484475318307,0.9918900544177264,ADL_random_z-inb
fixed,zi,NA,group_corpNEUK_English,-8.36103759736684,79972.67496307155,-1.0454867992383225e-4,0.9999165822225884,ADL_random_z-inb
fixed,zi,NA,group_corpNEArg_Spanish,14.35089215783534,1613.376524105795,0.008894942961804432,0.9929029559280442,ADL_random_z-inb
fixed,zi,NA,group_corpNETseltal,-3.6504573257278197,10742.639731162828,-3.3981008551728457e-4,0.9997288707843786,ADL_random_z-inb
fixed,zi,NA,group_corpNEYeli_Dnye,-1.9198334968239934,5214.752094931965,-3.681543171898454e-4,0.9997062553609569,ADL_random_z-inb
ran_pars,cond,aclew_child_id,sd__(Intercept),0.3516497306994249,NA,NA,NA,ADL_random_z-inb
