effect,component,group,term,estimate,std.error,statistic,p.value,model
fixed,cond,NA,(Intercept),1.1603191825478514,0.18466745463678985,6.283290062290652,3.314817470214835e-10,TDL_random_z-inb
fixed,cond,NA,tchiyr.std,-0.02859552761034604,0.09172286930786529,-0.3117600640508305,0.7552228766451847,TDL_random_z-inb
fixed,cond,NA,SpkrTypeMan,-2.028651623182144,0.18972272656057876,-10.69271805206949,1.100963409417496e-26,TDL_random_z-inb
fixed,cond,NA,SpkrTypeChild,-3.54146659315223,0.36732702755869096,-9.641181637761136,5.356775457327113e-22,TDL_random_z-inb
fixed,cond,NA,nsk.std,0.3344416549823972,0.04389507182960351,7.619116247962137,2.5541836345994587e-14,TDL_random_z-inb
fixed,cond,NA,group_corpNEUK_English,-0.14695514664378367,0.26690447056099964,-0.5505908025253471,0.5819142152389907,TDL_random_z-inb
fixed,cond,NA,group_corpNEArg_Spanish,-0.1313914153306591,0.25436657770575283,-0.5165435511054073,0.6054748297051047,TDL_random_z-inb
fixed,cond,NA,group_corpNETseltal,0.017321834823511836,0.2906110473428089,0.059604873874869437,0.9524703364821617,TDL_random_z-inb
fixed,cond,NA,group_corpNEYeli_Dnye,-0.9472843439277714,0.3188721697763302,-2.970733835418233,0.002970891388929377,TDL_random_z-inb
fixed,cond,NA,SpkrTypeMan:group_corpNEUK_English,0.6451500881971038,0.3309934796961161,1.949132317619712,0.05127962512357263,TDL_random_z-inb
fixed,cond,NA,SpkrTypeChild:group_corpNEUK_English,1.101011057823766,0.5102942425155608,2.1576003922681766,0.030958914182099905,TDL_random_z-inb
fixed,cond,NA,SpkrTypeMan:group_corpNEArg_Spanish,0.7034264750111736,0.3072349429871055,2.289539295797796,0.022048037450681634,TDL_random_z-inb
fixed,cond,NA,SpkrTypeChild:group_corpNEArg_Spanish,1.5847599598858613,0.4548262689834914,3.484319327966043,4.933904454115361e-4,TDL_random_z-inb
fixed,cond,NA,SpkrTypeMan:group_corpNETseltal,0.13336761656011373,0.40934621691418765,0.3258063982256661,0.7445708375659137,TDL_random_z-inb
fixed,cond,NA,SpkrTypeChild:group_corpNETseltal,1.9110188471257938,0.48813709750798684,3.9149223791468257,9.043329626510913e-5,TDL_random_z-inb
fixed,cond,NA,SpkrTypeMan:group_corpNEYeli_Dnye,0.7520333639644224,0.3728789985439882,2.0168294993843845,0.0437133093368103,TDL_random_z-inb
fixed,cond,NA,SpkrTypeChild:group_corpNEYeli_Dnye,2.8071141269621678,0.4595093181385448,6.108938417905611,1.0029601551855403e-9,TDL_random_z-inb
fixed,cond,NA,tchiyr.std:SpkrTypeMan,-0.13372849994628178,0.13196873537989456,-1.0133347081134136,0.31090031451331573,TDL_random_z-inb
fixed,cond,NA,tchiyr.std:SpkrTypeChild,0.28750150516318596,0.12242020714307507,2.348480793102865,0.018850171368263054,TDL_random_z-inb
fixed,zi,NA,(Intercept),-2.6686159629703354,1.9378520877589687,-1.3770999241002235,0.16848135617969906,TDL_random_z-inb
fixed,zi,NA,tchiyr.std,-1.5409076412785896,1.3967279304727063,-1.1032267685497543,0.2699286993828662,TDL_random_z-inb
fixed,zi,NA,group_corpNEUK_English,-14.313547527951512,1941.1723796053186,-0.007373661236031886,0.9941167228563872,TDL_random_z-inb
fixed,zi,NA,group_corpNEArg_Spanish,-1.8497471133333323,9.439729704648133,-0.19595339815953786,0.8446466416589467,TDL_random_z-inb
fixed,zi,NA,group_corpNETseltal,0.424451904033417,0.9125743504018767,0.4651148740335493,0.641849194896229,TDL_random_z-inb
fixed,zi,NA,group_corpNEYeli_Dnye,-1.4456138451675071,3.6065274846185615,-0.4008326156761287,0.6885433639762635,TDL_random_z-inb
ran_pars,cond,aclew_child_id,sd__(Intercept),0.35909986925084103,NA,NA,NA,TDL_random_z-inb
