aclew_child_id,group_corpNE,tds_mph,ocds_mph,cds_mph,ads_mph
0396,NA_English,2.912,0,2.912,3.3480000000000003
0643,Tseltal,0.8266666666666667,8.413333333333334,9.237333333333334,8.274666666666667
0790,Arg_Spanish,8.494,2.434,10.928,7.680000000000001
1130,NA_English,0,5.494,5.494,12.68
1143,Yeli_Dnye,2.6986666666666665,10.877333333333334,13.573333333333334,32.48533333333333
1156,UK_English,3.944,2.744,6.688,7.006
1196,NA_English,0.31999999999999995,1.204,1.52,8.796
1299,Arg_Spanish,2.7960000000000003,3.746,6.5440000000000005,15.556
1499,NA_English,2.728,2.478,5.2059999999999995,1.56
1618,NA_English,1.636,1.594,3.23,4.8260000000000005
1735,UK_English,4.662,1.518,6.18,1.974
1768,UK_English,4.778,0.22,4.998,5.292
1844,NA_English,7.168,0,7.168,6.862
2109,Tseltal,3.904,0,3.904,2.781333333333333
2534,Arg_Spanish,5.564,0,5.564,9.664
2535,NA_English,5.596,0,5.596,19.324
2625,Tseltal,3.973333333333333,4.76,8.732,3.670666666666667
2745,UK_English,3.208,0,3.208,1.14
2927,NA_English,4.016,6.184,10.198,10.02
2977,Yeli_Dnye,3.9866666666666664,6.984,10.973333333333333,38.544
3026,Tseltal,2.518666666666667,5.906666666666666,8.424,3.9626666666666663
3090,NA_English,1.418,0.746,2.164,5.3759999999999994
3486,UK_English,1.222,0.224,1.444,0.602
3510,Arg_Spanish,8.464,2.516,10.98,10.818
3528,NA_English,0.368,0,0.368,0
3542,NA_English,7.569999999999999,0.6499999999999999,8.214,19.052
3729,Yeli_Dnye,3.2079999999999997,20.904,24.112,28.450666666666667
3749,NA_English,3.592,0,3.592,17.978
3895,NA_English,1.284,8.982,10.27,9.152
3956,Yeli_Dnye,6.261333333333333,16.605333333333334,22.866666666666667,7.248
4483,NA_English,4.870133331128372,0.7740190687830066,5.642152399911379,6.712072074838383
4569,Yeli_Dnye,1.8213333333333337,17.373333333333335,19.186666666666667,7.797333333333333
4995,NA_English,2.562,0.3,2.862,2.5999999999999996
5019,Yeli_Dnye,4.112,16.258666666666667,20.370666666666665,9.549333333333331
5613,NA_English,0.956,8.218,9.172,19.174
5750,NA_English,1.602,3.464,5.07,11.722
5959,NA_English,3.244,0.02,3.264,7.574
6026,Arg_Spanish,9.376,5.494,14.872,13.584
6035,NA_English,3.37,0.478,3.848,11.28
6216,Tseltal,6.545333333333334,0.09866666666666664,6.644,8.337333333333333
6934,Yeli_Dnye,1.5759999999999998,17.525333333333332,19.101333333333333,11.312
7176,Tseltal,1.0866666666666664,4.724,5.811999999999999,8.358666666666666
7220,Tseltal,5.798666666666667,6.148000000000001,11.946666666666667,33.07866666666666
7326,Tseltal,4.936,1.8186666666666669,6.757333333333333,9.361333333333334
7758,NA_English,3.729999999999999,0,3.729999999999999,0.998
7798,UK_English,5.018,0,5.018,9.592
7903,Arg_Spanish,2.806,1.758,4.568,9.658
8018,Yeli_Dnye,2.1173333333333333,8.957333333333333,11.077333333333334,22.896
8179,Tseltal,1.78,8.681333333333333,10.461333333333334,17.254666666666665
8357,UK_English,3.5040000000000004,3.084,6.586,5.732
8427,Yeli_Dnye,2.312,7.594666666666667,9.906666666666668,9.402666666666669
8445,NA_English,10.12,0.016,10.134,6.23
8768,NA_English,4.612,0.6,5.2139999999999995,10.49
8787,Tseltal,3.990666666666667,4.290666666666667,8.278666666666666,15.677333333333332
8788,Arg_Spanish,2.528,0.352,2.88,11.684
8924,NA_English,4.912,0.23999999999999996,5.152,12.93
9051,Arg_Spanish,1.396,0.962,2.36,1.586
9398,NA_English,5.925999999999999,0,5.925999999999999,0.342
9408,UK_English,1.888,0.588,2.476,3.294
9426,Arg_Spanish,3.566,4.252,7.82,4.164
9427,NA_English,2.604,0.47,3.076,10.198
9492,UK_English,1.552,2.578,4.132,3.554
9527,NA_English,5.686,0.654,6.34,2.476
9732,Yeli_Dnye,3.218666666666667,4.608,7.826666666666667,31.029333333333337
9755,NA_English,0.67,2.184,2.854,4.65
9801,UK_English,7.154,6.446,13.602,5.642
9854,NA_English,5.056,0.08,5.132,5.176
9858,NA_English,2.55,0.328,2.878,2.07
9909,Arg_Spanish,2.666,3.512,6.18,23.926
