aclew_child_id,group_corp,group_corpNE,corp,segment,age_mo_round,tchiyr.m,tchiyr.sd,n_spkrs_clip,tds_mph,cds_mph,ads_mph
0396,NA_English,NA_English,BER,1,15,13.928571428571429,8.62473932153252,1,11.97,11.97,0
0396,NA_English,NA_English,BER,10,15,13.928571428571429,8.62473932153252,1,9.96,9.96,0
0396,NA_English,NA_English,BER,11,15,13.928571428571429,8.62473932153252,1,1.35,1.35,0
0396,NA_English,NA_English,BER,12,15,13.928571428571429,8.62473932153252,2,1.62,1.62,5.25
0396,NA_English,NA_English,BER,13,15,13.928571428571429,8.62473932153252,1,2.82,2.82,0
0396,NA_English,NA_English,BER,14,15,13.928571428571429,8.62473932153252,1,0.15,0.15,0
0396,NA_English,NA_English,BER,15,15,13.928571428571429,8.62473932153252,1,3.1799999999999997,3.1799999999999997,1.68
0396,NA_English,NA_English,BER,2,15,13.928571428571429,8.62473932153252,1,1.5599999999999998,1.5599999999999998,0
0396,NA_English,NA_English,BER,3,15,13.928571428571429,8.62473932153252,0,0,0,0
0396,NA_English,NA_English,BER,4,15,13.928571428571429,8.62473932153252,1,5.82,5.82,0
0396,NA_English,NA_English,BER,5,15,13.928571428571429,8.62473932153252,3,2.85,2.85,18.69
0396,NA_English,NA_English,BER,6,15,13.928571428571429,8.62473932153252,0,0,0,0
0396,NA_English,NA_English,BER,7,15,13.928571428571429,8.62473932153252,1,0,0,19.14
0396,NA_English,NA_English,BER,8,15,13.928571428571429,8.62473932153252,2,2.4,2.4,5.46
0396,NA_English,NA_English,BER,9,15,13.928571428571429,8.62473932153252,0,0,0,0
0643,Tseltal,Tseltal,CAS,random-1,2,13.928571428571429,8.62473932153252,4,1.128,17.544,7.02
0643,Tseltal,Tseltal,CAS,random-2,2,13.928571428571429,8.62473932153252,2,1.788,2.724,3.636
0643,Tseltal,Tseltal,CAS,random-3,2,13.928571428571429,8.62473932153252,6,0.12,15.432,12.035999999999998
0643,Tseltal,Tseltal,CAS,random-4,2,13.928571428571429,8.62473932153252,3,0,1.656,1.464
0643,Tseltal,Tseltal,CAS,random-5,2,13.928571428571429,8.62473932153252,4,0,10.056,3.42
0643,Tseltal,Tseltal,CAS,random-6,2,13.928571428571429,8.62473932153252,4,0.456,3.3480000000000003,3.5999999999999996
0643,Tseltal,Tseltal,CAS,random-7,2,13.928571428571429,8.62473932153252,5,0,4.9799999999999995,13.284
0643,Tseltal,Tseltal,CAS,random-8,2,13.928571428571429,8.62473932153252,5,3.78,19.632,7.656
0643,Tseltal,Tseltal,CAS,random-9,2,13.928571428571429,8.62473932153252,4,0.168,7.764000000000001,22.356
0790,Arg_Spanish,Arg_Spanish,ROS,1,12,13.928571428571429,8.62473932153252,1,3.57,3.57,0
0790,Arg_Spanish,Arg_Spanish,ROS,10,12,13.928571428571429,8.62473932153252,5,2.94,18.33,12.36
0790,Arg_Spanish,Arg_Spanish,ROS,11,12,13.928571428571429,8.62473932153252,1,18.3,18.3,0
0790,Arg_Spanish,Arg_Spanish,ROS,12,12,13.928571428571429,8.62473932153252,3,15.69,16.200000000000003,0
0790,Arg_Spanish,Arg_Spanish,ROS,13,12,13.928571428571429,8.62473932153252,2,9.09,9.09,0
0790,Arg_Spanish,Arg_Spanish,ROS,14,12,13.928571428571429,8.62473932153252,1,12.21,12.21,0
0790,Arg_Spanish,Arg_Spanish,ROS,15,12,13.928571428571429,8.62473932153252,4,7.0200000000000005,7.0200000000000005,0.24
0790,Arg_Spanish,Arg_Spanish,ROS,2,12,13.928571428571429,8.62473932153252,3,0.6,0.6,22.92
0790,Arg_Spanish,Arg_Spanish,ROS,3,12,13.928571428571429,8.62473932153252,3,9.15,9.15,12.33
0790,Arg_Spanish,Arg_Spanish,ROS,4,12,13.928571428571429,8.62473932153252,1,13.77,13.77,0
0790,Arg_Spanish,Arg_Spanish,ROS,5,12,13.928571428571429,8.62473932153252,4,4.7700000000000005,18.36,27.24
0790,Arg_Spanish,Arg_Spanish,ROS,6,12,13.928571428571429,8.62473932153252,1,9.12,9.12,0
0790,Arg_Spanish,Arg_Spanish,ROS,7,12,13.928571428571429,8.62473932153252,8,0,7.0200000000000005,40.11
0790,Arg_Spanish,Arg_Spanish,ROS,8,12,13.928571428571429,8.62473932153252,1,10.59,10.59,0
0790,Arg_Spanish,Arg_Spanish,ROS,9,12,13.928571428571429,8.62473932153252,1,10.59,10.59,0
1130,NA_English,NA_English,WAR,1,9,13.928571428571429,8.62473932153252,3,0,4.890000000000001,4.59
1130,NA_English,NA_English,WAR,10,9,13.928571428571429,8.62473932153252,4,0,0.75,9.99
1130,NA_English,NA_English,WAR,11,9,13.928571428571429,8.62473932153252,2,0,0.87,3.69
1130,NA_English,NA_English,WAR,12,9,13.928571428571429,8.62473932153252,4,0,2.28,10.05
1130,NA_English,NA_English,WAR,13,9,13.928571428571429,8.62473932153252,3,0,7.800000000000001,14.04
1130,NA_English,NA_English,WAR,14,9,13.928571428571429,8.62473932153252,2,0,1.77,11.16
1130,NA_English,NA_English,WAR,15,9,13.928571428571429,8.62473932153252,2,0,5.22,11.85
1130,NA_English,NA_English,WAR,2,9,13.928571428571429,8.62473932153252,3,0,6.27,9.42
1130,NA_English,NA_English,WAR,3,9,13.928571428571429,8.62473932153252,3,0,6.69,12
1130,NA_English,NA_English,WAR,4,9,13.928571428571429,8.62473932153252,2,0,0.48,5.37
1130,NA_English,NA_English,WAR,5,9,13.928571428571429,8.62473932153252,1,0,0,4.65
1130,NA_English,NA_English,WAR,6,9,13.928571428571429,8.62473932153252,2,0,24.33,11.64
1130,NA_English,NA_English,WAR,7,9,13.928571428571429,8.62473932153252,3,0,3.15,32.28
1130,NA_English,NA_English,WAR,8,9,13.928571428571429,8.62473932153252,3,0,17.91,15.33
1130,NA_English,NA_English,WAR,9,9,13.928571428571429,8.62473932153252,3,0,0,34.14
1143,Yeli_Dnye,Yeli_Dnye,CAS,random-1,8,13.928571428571429,8.62473932153252,8,1.704,3.072,39.599999999999994
1143,Yeli_Dnye,Yeli_Dnye,CAS,random-2,8,13.928571428571429,8.62473932153252,3,4.896,7.632000000000001,22.176
1143,Yeli_Dnye,Yeli_Dnye,CAS,random-3,8,13.928571428571429,8.62473932153252,5,0.8400000000000001,2.3040000000000003,52.824000000000005
1143,Yeli_Dnye,Yeli_Dnye,CAS,random-4,8,13.928571428571429,8.62473932153252,6,2.76,8.376,18
1143,Yeli_Dnye,Yeli_Dnye,CAS,random-5,8,13.928571428571429,8.62473932153252,8,0,0,81.288
1143,Yeli_Dnye,Yeli_Dnye,CAS,random-6,8,13.928571428571429,8.62473932153252,7,0.48,10.464,46.416
1143,Yeli_Dnye,Yeli_Dnye,CAS,random-7,8,13.928571428571429,8.62473932153252,4,4.4399999999999995,7.512,16.704
1143,Yeli_Dnye,Yeli_Dnye,CAS,random-8,8,13.928571428571429,8.62473932153252,6,7.92,69.552,0
1143,Yeli_Dnye,Yeli_Dnye,CAS,random-9,8,13.928571428571429,8.62473932153252,7,1.248,13.248,15.36
1156,UK_English,UK_English,ROW,1,25,13.928571428571429,8.62473932153252,2,21.42,21.63,2.0700000000000003
1156,UK_English,UK_English,ROW,10,25,13.928571428571429,8.62473932153252,3,1.65,2.82,12.09
1156,UK_English,UK_English,ROW,11,25,13.928571428571429,8.62473932153252,3,14.16,16.95,0.39
1156,UK_English,UK_English,ROW,12,25,13.928571428571429,8.62473932153252,1,8.67,8.67,0.7799999999999999
1156,UK_English,UK_English,ROW,13,25,13.928571428571429,8.62473932153252,2,0,22.71,10.08
1156,UK_English,UK_English,ROW,14,25,13.928571428571429,8.62473932153252,2,5.76,5.76,4.41
1156,UK_English,UK_English,ROW,15,25,13.928571428571429,8.62473932153252,2,0,0.72,0
1156,UK_English,UK_English,ROW,2,25,13.928571428571429,8.62473932153252,1,6.39,6.39,0
1156,UK_English,UK_English,ROW,3,25,13.928571428571429,8.62473932153252,0,0,0,0
1156,UK_English,UK_English,ROW,4,25,13.928571428571429,8.62473932153252,0,0,0,0
1156,UK_English,UK_English,ROW,5,25,13.928571428571429,8.62473932153252,0,0,0,0
1156,UK_English,UK_English,ROW,6,25,13.928571428571429,8.62473932153252,0,0,0,0
1156,UK_English,UK_English,ROW,7,25,13.928571428571429,8.62473932153252,2,0.3,12.81,20.49
1156,UK_English,UK_English,ROW,8,25,13.928571428571429,8.62473932153252,0,0,0,0
1156,UK_English,UK_English,ROW,9,25,13.928571428571429,8.62473932153252,4,0.8099999999999999,1.86,54.78
1196,NA_English,NA_English,BER,1,9,13.928571428571429,8.62473932153252,2,0,4.47,12.63
1196,NA_English,NA_English,BER,10,9,13.928571428571429,8.62473932153252,2,2.1599999999999997,4.5,9.48
1196,NA_English,NA_English,BER,11,9,13.928571428571429,8.62473932153252,0,0,0,0
1196,NA_English,NA_English,BER,12,9,13.928571428571429,8.62473932153252,2,0,0,27.3
1196,NA_English,NA_English,BER,13,9,13.928571428571429,8.62473932153252,0,0,0,0
1196,NA_English,NA_English,BER,14,9,13.928571428571429,8.62473932153252,2,0,0.84,11.46
1196,NA_English,NA_English,BER,15,9,13.928571428571429,8.62473932153252,1,0,0,35.339999999999996
1196,NA_English,NA_English,BER,2,9,13.928571428571429,8.62473932153252,2,0,4.68,1.35
1196,NA_English,NA_English,BER,3,9,13.928571428571429,8.62473932153252,1,0,0,0.39
1196,NA_English,NA_English,BER,4,9,13.928571428571429,8.62473932153252,2,0.8099999999999999,1.5599999999999998,0.5399999999999999
1196,NA_English,NA_English,BER,5,9,13.928571428571429,8.62473932153252,2,0,0,3.99
1196,NA_English,NA_English,BER,6,9,13.928571428571429,8.62473932153252,1,0,0,2.13
1196,NA_English,NA_English,BER,7,9,13.928571428571429,8.62473932153252,2,0,2.31,9.57
1196,NA_English,NA_English,BER,8,9,13.928571428571429,8.62473932153252,2,0.8099999999999999,3.42,6.27
1196,NA_English,NA_English,BER,9,9,13.928571428571429,8.62473932153252,2,1.02,1.02,11.49
1299,Arg_Spanish,Arg_Spanish,ROS,1,23,13.928571428571429,8.62473932153252,3,1.86,1.86,28.38
1299,Arg_Spanish,Arg_Spanish,ROS,10,23,13.928571428571429,8.62473932153252,4,5.22,10.98,6.33
1299,Arg_Spanish,Arg_Spanish,ROS,11,23,13.928571428571429,8.62473932153252,3,4.050000000000001,4.59,45.24
1299,Arg_Spanish,Arg_Spanish,ROS,12,23,13.928571428571429,8.62473932153252,1,2.88,2.88,0
1299,Arg_Spanish,Arg_Spanish,ROS,13,23,13.928571428571429,8.62473932153252,5,5.31,5.31,3.9
1299,Arg_Spanish,Arg_Spanish,ROS,14,23,13.928571428571429,8.62473932153252,3,0,0,7.890000000000001
1299,Arg_Spanish,Arg_Spanish,ROS,15,23,13.928571428571429,8.62473932153252,4,0.57,2.4,3.21
