aclew_child_id,group_corp,group_corpNE,corp,segment,age_mo_round,tchiyr.m,tchiyr.sd,n_spkrs_clip.st,SpkrType,tds_mph.st,cds_mph.st,ads_mph.st
0396,NA_English,NA_English,BER,1,15,13.928571428571429,8.62473932153252,0,Child,0,0,0
0396,NA_English,NA_English,BER,1,15,13.928571428571429,8.62473932153252,0,Man,0,0,0
0396,NA_English,NA_English,BER,1,15,13.928571428571429,8.62473932153252,1,Woman,11.97,11.97,0
0396,NA_English,NA_English,BER,10,15,13.928571428571429,8.62473932153252,0,Child,0,0,0
0396,NA_English,NA_English,BER,10,15,13.928571428571429,8.62473932153252,0,Man,0,0,0
0396,NA_English,NA_English,BER,10,15,13.928571428571429,8.62473932153252,1,Woman,9.96,9.96,0
0396,NA_English,NA_English,BER,11,15,13.928571428571429,8.62473932153252,0,Child,0,0,0
0396,NA_English,NA_English,BER,11,15,13.928571428571429,8.62473932153252,0,Man,0,0,0
0396,NA_English,NA_English,BER,11,15,13.928571428571429,8.62473932153252,1,Woman,1.35,1.35,0
0396,NA_English,NA_English,BER,12,15,13.928571428571429,8.62473932153252,0,Child,0,0,0
0396,NA_English,NA_English,BER,12,15,13.928571428571429,8.62473932153252,1,Man,0.18,0.18,4.26
0396,NA_English,NA_English,BER,12,15,13.928571428571429,8.62473932153252,1,Woman,1.41,1.41,0.99
0396,NA_English,NA_English,BER,13,15,13.928571428571429,8.62473932153252,0,Child,0,0,0
0396,NA_English,NA_English,BER,13,15,13.928571428571429,8.62473932153252,0,Man,0,0,0
0396,NA_English,NA_English,BER,13,15,13.928571428571429,8.62473932153252,1,Woman,2.82,2.82,0
0396,NA_English,NA_English,BER,14,15,13.928571428571429,8.62473932153252,0,Child,0,0,0
0396,NA_English,NA_English,BER,14,15,13.928571428571429,8.62473932153252,0,Man,0,0,0
0396,NA_English,NA_English,BER,14,15,13.928571428571429,8.62473932153252,1,Woman,0.15,0.15,0
0396,NA_English,NA_English,BER,15,15,13.928571428571429,8.62473932153252,0,Child,0,0,0
0396,NA_English,NA_English,BER,15,15,13.928571428571429,8.62473932153252,0,Man,0,0,0
0396,NA_English,NA_English,BER,15,15,13.928571428571429,8.62473932153252,1,Woman,3.1799999999999997,3.1799999999999997,1.68
0396,NA_English,NA_English,BER,2,15,13.928571428571429,8.62473932153252,0,Child,0,0,0
0396,NA_English,NA_English,BER,2,15,13.928571428571429,8.62473932153252,0,Man,0,0,0
0396,NA_English,NA_English,BER,2,15,13.928571428571429,8.62473932153252,1,Woman,1.5599999999999998,1.5599999999999998,0
0396,NA_English,NA_English,BER,3,15,13.928571428571429,8.62473932153252,0,Child,0,0,0
0396,NA_English,NA_English,BER,3,15,13.928571428571429,8.62473932153252,0,Man,0,0,0
0396,NA_English,NA_English,BER,3,15,13.928571428571429,8.62473932153252,0,Woman,0,0,0
0396,NA_English,NA_English,BER,4,15,13.928571428571429,8.62473932153252,0,Child,0,0,0
0396,NA_English,NA_English,BER,4,15,13.928571428571429,8.62473932153252,0,Man,0,0,0
0396,NA_English,NA_English,BER,4,15,13.928571428571429,8.62473932153252,1,Woman,5.82,5.82,0
0396,NA_English,NA_English,BER,5,15,13.928571428571429,8.62473932153252,1,Child,0,0,1.65
0396,NA_English,NA_English,BER,5,15,13.928571428571429,8.62473932153252,1,Man,1.02,1.02,14.34
0396,NA_English,NA_English,BER,5,15,13.928571428571429,8.62473932153252,1,Woman,1.83,1.83,2.67
0396,NA_English,NA_English,BER,6,15,13.928571428571429,8.62473932153252,0,Child,0,0,0
0396,NA_English,NA_English,BER,6,15,13.928571428571429,8.62473932153252,0,Man,0,0,0
0396,NA_English,NA_English,BER,6,15,13.928571428571429,8.62473932153252,0,Woman,0,0,0
