aclew_child_id,corp,group_corp,group_corpNE,language,child_sex,age_mo_round,segment,segment_dur,n_spkrs_clip,tds_min,ocds_min,cds_min,ads_min,tds_mph,ocds_mph,cds_mph,ads_mph,prop_tds,prop_ocds,prop_cds,prop_ads
0396,BER,"NA_English","NA_English",English,F,15,1,2,1,0.399,0,0.399,0,11.97,0,11.97,0,0.5,0,0.5,0
0396,BER,"NA_English","NA_English",English,F,15,10,2,1,0.332,0,0.332,0,9.96,0,9.96,0,0.5,0,0.5,0
0396,BER,"NA_English","NA_English",English,F,15,11,2,1,0.045,0,0.045,0,1.35,0,1.35,0,0.5,0,0.5,0
0396,BER,"NA_English","NA_English",English,F,15,12,2,2,0.054,0,0.054,0.175,1.62,0,1.62,5.25,0.19081272084805656,0,0.19081272084805656,0.618374558303887
0396,BER,"NA_English","NA_English",English,F,15,13,2,1,0.094,0,0.094,0,2.82,0,2.82,0,0.5,0,0.5,0
0396,BER,"NA_English","NA_English",English,F,15,14,2,1,0.005,0,0.005,0,0.15,0,0.15,0,0.5,0,0.5,0
0396,BER,"NA_English","NA_English",English,F,15,15,2,1,0.106,0,0.106,0.056,3.1799999999999997,0,3.1799999999999997,1.68,0.3955223880597014,0,0.3955223880597014,0.208955223880597
0396,BER,"NA_English","NA_English",English,F,15,2,2,1,0.052,0,0.052,0,1.5599999999999998,0,1.5599999999999998,0,0.5,0,0.5,0
0396,BER,"NA_English","NA_English",English,F,15,3,2,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
0396,BER,"NA_English","NA_English",English,F,15,4,2,1,0.194,0,0.194,0,5.82,0,5.82,0,0.5,0,0.5,0
0396,BER,"NA_English","NA_English",English,F,15,5,2,3,0.095,0,0.095,0.623,2.85,0,2.85,18.69,0.11685116851168512,0,0.11685116851168512,0.7662976629766298
0396,BER,"NA_English","NA_English",English,F,15,6,2,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
0396,BER,"NA_English","NA_English",English,F,15,7,2,1,0,0,0,0.638,0,0,0,19.14,0,0,0,1
0396,BER,"NA_English","NA_English",English,F,15,8,2,2,0.08,0,0.08,0.182,2.4,0,2.4,5.46,0.23391812865497075,0,0.23391812865497075,0.5321637426900584
0396,BER,"NA_English","NA_English",English,F,15,9,2,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
0643,CAS,Tseltal,Tseltal,Tseltal,M,2,random-1,5,4,0.094,1.368,1.462,0.585,1.128,16.416,17.544,7.02,0.04390471742176553,0.6389537599252686,0.6828584773470341,0.27323680523120036
0643,CAS,Tseltal,Tseltal,Tseltal,M,2,random-2,5,2,0.149,0.079,0.227,0.303,1.788,0.948,2.724,3.636,0.219440353460972,0.1163475699558174,0.3343151693667158,0.44624447717231225
0643,CAS,Tseltal,Tseltal,Tseltal,M,2,random-3,5,6,0.01,1.276,1.286,1.003,0.12,15.312,15.432,12.035999999999998,0.00434971726837755,0.5550239234449761,0.5593736407133537,0.4362766420182688
0643,CAS,Tseltal,Tseltal,Tseltal,M,2,random-4,5,3,0,0.138,0.138,0.122,0,1.656,1.656,1.464,0,0.5307692307692308,0.5307692307692308,0.4692307692307692
0643,CAS,Tseltal,Tseltal,Tseltal,M,2,random-5,5,4,0,0.838,0.838,0.285,0,10.056,10.056,3.42,0,0.7462154942119323,0.7462154942119323,0.25378450578806766
0643,CAS,Tseltal,Tseltal,Tseltal,M,2,random-6,5,4,0.038,0.242,0.279,0.3,0.456,2.904,3.3480000000000003,3.5999999999999996,0.06158833063209076,0.3922204213938412,0.45218800648298224,0.4862236628849271
0643,CAS,Tseltal,Tseltal,Tseltal,M,2,random-7,5,5,0,0.415,0.415,1.107,0,4.9799999999999995,4.9799999999999995,13.284,0,0.2726675427069645,0.2726675427069645,0.7273324572930354
0643,CAS,Tseltal,Tseltal,Tseltal,M,2,random-8,5,5,0.315,1.321,1.636,0.638,3.78,15.852,19.632,7.656,0.1216685979142526,0.5102356122054847,0.6319042101197373,0.24642719196601004
0643,CAS,Tseltal,Tseltal,Tseltal,M,2,random-9,5,4,0.014,0.633,0.647,1.863,0.168,7.595999999999999,7.764000000000001,22.356,0.00554675118858954,0.25079239302694134,0.2563391442155309,0.7381141045958796
0790,ROS,Arg_Spanish,Arg_Spanish,Spanish,F,12,1,2,1,0.119,0,0.119,0,3.57,0,3.57,0,0.5,0,0.5,0
0790,ROS,Arg_Spanish,Arg_Spanish,Spanish,F,12,10,2,5,0.098,0.513,0.611,0.412,2.94,15.39,18.33,12.36,0.08742194469223907,0.4576271186440678,0.5450490633363069,0.36752899197145406
0790,ROS,Arg_Spanish,Arg_Spanish,Spanish,F,12,11,2,1,0.61,0,0.61,0,18.3,0,18.3,0,0.5,0,0.5,0
0790,ROS,Arg_Spanish,Arg_Spanish,Spanish,F,12,12,2,3,0.523,0.017,0.54,0,15.69,0.51,16.200000000000003,0,0.4920037629350893,0.01599247412982125,0.5079962370649106,0
0790,ROS,Arg_Spanish,Arg_Spanish,Spanish,F,12,13,2,2,0.303,0,0.303,0,9.09,0,9.09,0,0.5,0,0.5,0
0790,ROS,Arg_Spanish,Arg_Spanish,Spanish,F,12,14,2,1,0.407,0,0.407,0,12.21,0,12.21,0,0.5,0,0.5,0
0790,ROS,Arg_Spanish,Arg_Spanish,Spanish,F,12,15,2,4,0.234,0,0.234,0.008,7.0200000000000005,0,7.0200000000000005,0.24,0.49159663865546216,0,0.49159663865546216,0.01680672268907563
0790,ROS,Arg_Spanish,Arg_Spanish,Spanish,F,12,2,2,3,0.02,0,0.02,0.764,0.6,0,0.6,22.92,0.02487562189054726,0,0.02487562189054726,0.9502487562189056
0790,ROS,Arg_Spanish,Arg_Spanish,Spanish,F,12,3,2,3,0.305,0,0.305,0.411,9.15,0,9.15,12.33,0.29872673849167486,0,0.29872673849167486,0.40254652301665034
0790,ROS,Arg_Spanish,Arg_Spanish,Spanish,F,12,4,2,1,0.459,0,0.459,0,13.77,0,13.77,0,0.5,0,0.5,0
0790,ROS,Arg_Spanish,Arg_Spanish,Spanish,F,12,5,2,4,0.159,0.453,0.612,0.908,4.7700000000000005,13.59,18.36,27.24,0.09469922572960096,0.269803454437165,0.3645026801667659,0.5407980941036332
0790,ROS,Arg_Spanish,Arg_Spanish,Spanish,F,12,6,2,1,0.304,0,0.304,0,9.12,0,9.12,0,0.5,0,0.5,0
0790,ROS,Arg_Spanish,Arg_Spanish,Spanish,F,12,7,2,8,0,0.234,0.234,1.337,0,7.0200000000000005,7.0200000000000005,40.11,0,0.14894971355824316,0.14894971355824316,0.8510502864417568
0790,ROS,Arg_Spanish,Arg_Spanish,Spanish,F,12,8,2,1,0.353,0,0.353,0,10.59,0,10.59,0,0.5,0,0.5,0
0790,ROS,Arg_Spanish,Arg_Spanish,Spanish,F,12,9,2,1,0.353,0,0.353,0,10.59,0,10.59,0,0.5,0,0.5,0
1130,WAR,"NA_English","NA_English",English,M,9,1,2,3,0,0.163,0.163,0.153,0,4.890000000000001,4.890000000000001,4.59,0,0.5158227848101266,0.5158227848101266,0.4841772151898734
1130,WAR,"NA_English","NA_English",English,M,9,10,2,4,0,0.025,0.025,0.333,0,0.75,0.75,9.99,0,0.06983240223463687,0.06983240223463687,0.9301675977653632
1130,WAR,"NA_English","NA_English",English,M,9,11,2,2,0,0.029,0.029,0.123,0,0.87,0.87,3.69,0,0.19078947368421056,0.19078947368421056,0.8092105263157895
1130,WAR,"NA_English","NA_English",English,M,9,12,2,4,0,0.076,0.076,0.335,0,2.28,2.28,10.05,0,0.1849148418491484,0.1849148418491484,0.8150851581508516
1130,WAR,"NA_English","NA_English",English,M,9,13,2,3,0,0.26,0.26,0.468,0,7.800000000000001,7.800000000000001,14.04,0,0.35714285714285715,0.35714285714285715,0.6428571428571429
1130,WAR,"NA_English","NA_English",English,M,9,14,2,2,0,0.059,0.059,0.372,0,1.77,1.77,11.16,0,0.1368909512761021,0.1368909512761021,0.8631090487238979
1130,WAR,"NA_English","NA_English",English,M,9,15,2,2,0,0.174,0.174,0.395,0,5.22,5.22,11.85,0,0.30579964850615116,0.30579964850615116,0.694200351493849
1130,WAR,"NA_English","NA_English",English,M,9,2,2,3,0,0.209,0.209,0.314,0,6.27,6.27,9.42,0,0.3996175908221797,0.3996175908221797,0.6003824091778203
1130,WAR,"NA_English","NA_English",English,M,9,3,2,3,0,0.223,0.223,0.4,0,6.69,6.69,12,0,0.3579454253611557,0.3579454253611557,0.6420545746388443
1130,WAR,"NA_English","NA_English",English,M,9,4,2,2,0,0.016,0.016,0.179,0,0.48,0.48,5.37,0,0.08205128205128205,0.08205128205128205,0.917948717948718
1130,WAR,"NA_English","NA_English",English,M,9,5,2,1,0,0,0,0.155,0,0,0,4.65,0,0,0,1
1130,WAR,"NA_English","NA_English",English,M,9,6,2,2,0,0.811,0.811,0.388,0,24.33,24.33,11.64,0,0.6763969974979149,0.6763969974979149,0.32360300250208507
1130,WAR,"NA_English","NA_English",English,M,9,7,2,3,0,0.105,0.105,1.076,0,3.15,3.15,32.28,0,0.08890770533446231,0.08890770533446231,0.9110922946655376
1130,WAR,"NA_English","NA_English",English,M,9,8,2,3,0,0.597,0.597,0.511,0,17.91,17.91,15.33,0,0.5388086642599277,0.5388086642599277,0.46119133574007215
1130,WAR,"NA_English","NA_English",English,M,9,9,2,3,0,0,0,1.138,0,0,0,34.14,0,0,0,1
1143,CAS,Yeli_Dnye,Yeli_Dnye,Yélî Dnye,M,8,random-1,2.5,8,0.071,0.058,0.128,1.65,1.704,1.392,3.072,39.599999999999994,0.03839913466738778,0.03136830719307734,0.06922660897782586,0.8923742563547864
1143,CAS,Yeli_Dnye,Yeli_Dnye,Yélî Dnye,M,8,random-2,2.5,3,0.204,0.114,0.318,0.924,4.896,2.736,7.632000000000001,22.176,0.14107883817427383,0.07883817427385892,0.21991701244813275,0.6390041493775933
1143,CAS,Yeli_Dnye,Yeli_Dnye,Yélî Dnye,M,8,random-3,2.5,5,0.035,0.061,0.096,2.201,0.8400000000000001,1.464,2.3040000000000003,52.824000000000005,0.01500857632933104,0.02615780445969124,0.04116638078902229,0.9438250428816466
1143,CAS,Yeli_Dnye,Yeli_Dnye,Yélî Dnye,M,8,random-4,2.5,6,0.115,0.234,0.349,0.75,2.76,5.6160000000000005,8.376,18,0.09472817133443164,0.1927512355848435,0.2874794069192751,0.6177924217462932
1143,CAS,Yeli_Dnye,Yeli_Dnye,Yélî Dnye,M,8,random-5,2.5,8,0,0,0,3.387,0,0,0,81.288,0,0,0,1
1143,CAS,Yeli_Dnye,Yeli_Dnye,Yélî Dnye,M,8,random-6,2.5,7,0.02,0.416,0.436,1.934,0.48,9.984,10.464,46.416,0.00836820083682008,0.17405857740585773,0.1824267782426778,0.8092050209205021
1143,CAS,Yeli_Dnye,Yeli_Dnye,Yélî Dnye,M,8,random-7,2.5,4,0.185,0.128,0.313,0.696,4.4399999999999995,3.072,7.512,16.704,0.15494137353433837,0.10720268006700168,0.26214405360134,0.5829145728643216
1143,CAS,Yeli_Dnye,Yeli_Dnye,Yélî Dnye,M,8,random-8,2.5,6,0.33,2.568,2.898,0,7.92,61.632000000000005,69.552,0,0.10223048327137546,0.7955390334572491,0.8977695167286245,0
1143,CAS,Yeli_Dnye,Yeli_Dnye,Yélî Dnye,M,8,random-9,2.5,7,0.052,0.5,0.552,0.64,1.248,12,13.248,15.36,0.04180064308681671,0.4019292604501607,0.44372990353697744,0.5144694533762058
1156,ROW,UK_English,UK_English,British English,F,25,1,2,2,0.714,0.007,0.721,0.069,21.42,0.21,21.63,2.0700000000000003,0.47473404255319146,0.00465425531914893,0.4793882978723404,0.04587765957446808
1156,ROW,UK_English,UK_English,British English,F,25,10,2,3,0.055,0.039,0.094,0.403,1.65,1.17,2.82,12.09,0.09963768115942027,0.07065217391304347,0.17028985507246375,0.730072463768116
1156,ROW,UK_English,UK_English,British English,F,25,11,2,3,0.472,0.093,0.565,0.013,14.16,2.79,16.95,0.39,0.4495238095238096,0.08857142857142859,0.5380952380952382,0.01238095238095238
1156,ROW,UK_English,UK_English,British English,F,25,12,2,1,0.289,0,0.289,0.026,8.67,0,8.67,0.7799999999999999,0.478476821192053,0,0.478476821192053,0.04304635761589404
1156,ROW,UK_English,UK_English,British English,F,25,13,2,2,0,0.757,0.757,0.336,0,22.71,22.71,10.08,0,0.6925892040256176,0.6925892040256176,0.3074107959743825
1156,ROW,UK_English,UK_English,British English,F,25,14,2,2,0.192,0,0.192,0.147,5.76,0,5.76,4.41,0.36158192090395486,0,0.36158192090395486,0.2768361581920904
1156,ROW,UK_English,UK_English,British English,F,25,15,2,2,0,0.024,0.024,0,0,0.72,0.72,0,0,1,1,0
1156,ROW,UK_English,UK_English,British English,F,25,2,2,1,0.213,0,0.213,0,6.39,0,6.39,0,0.5,0,0.5,0
1156,ROW,UK_English,UK_English,British English,F,25,3,2,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
1156,ROW,UK_English,UK_English,British English,F,25,4,2,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
1156,ROW,UK_English,UK_English,British English,F,25,5,2,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
1156,ROW,UK_English,UK_English,British English,F,25,6,2,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
1156,ROW,UK_English,UK_English,British English,F,25,7,2,2,0.01,0.417,0.427,0.683,0.3,12.51,12.81,20.49,0.00892857142857142,0.3723214285714285,0.38125,0.6098214285714285
1156,ROW,UK_English,UK_English,British English,F,25,8,2,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
1156,ROW,UK_English,UK_English,British English,F,25,9,2,4,0.027,0.035,0.062,1.826,0.8099999999999999,1.05,1.86,54.78,0.01409921671018276,0.01827676240208877,0.03237597911227154,0.9535248041775456
1196,BER,"NA_English","NA_English",English,F,9,1,2,2,0,0.149,0.149,0.421,0,4.47,4.47,12.63,0,0.26140350877192986,0.26140350877192986,0.7385964912280703
1196,BER,"NA_English","NA_English",English,F,9,10,2,2,0.072,0.079,0.15,0.316,2.1599999999999997,2.37,4.5,9.48,0.13382899628252787,0.14684014869888476,0.27881040892193304,0.587360594795539
1196,BER,"NA_English","NA_English",English,F,9,11,2,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
1196,BER,"NA_English","NA_English",English,F,9,12,2,2,0,0,0,0.91,0,0,0,27.3,0,0,0,1
1196,BER,"NA_English","NA_English",English,F,9,13,2,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
1196,BER,"NA_English","NA_English",English,F,9,14,2,2,0,0.028,0.028,0.382,0,0.84,0.84,11.46,0,0.06829268292682926,0.06829268292682926,0.9317073170731708
1196,BER,"NA_English","NA_English",English,F,9,15,2,1,0,0,0,1.178,0,0,0,35.339999999999996,0,0,0,1
1196,BER,"NA_English","NA_English",English,F,9,2,2,2,0,0.156,0.156,0.045,0,4.68,4.68,1.35,0,0.7761194029850745,0.7761194029850745,0.22388059701492535
