aclew_child_id,corp,group_corp,group_corpNE,language,child_sex,age_mo_round,m_n_spkrs,tds_min,ocds_min,cds_min,ads_min,tds_mph,ocds_mph,cds_mph,ads_mph
0396,BER,"NA_English","NA_English",English,F,15,1.0666666666666669,0.09706666666666668,0.09706666666666668,0.09706666666666668,0.1116,2.912,0,2.912,3.3480000000000003
0643,CAS,Tseltal,Tseltal,Tseltal,M,2,4.111111111111111,0.06888888888888889,0.7697777777777778,0.7697777777777778,0.6895555555555555,0.8266666666666667,8.413333333333334,9.237333333333334,8.274666666666667
0790,ROS,Arg_Spanish,Arg_Spanish,Spanish,F,12,2.6,0.28313333333333335,0.3642666666666667,0.3642666666666667,0.256,8.494,2.434,10.928,7.680000000000001
1130,WAR,"NA_English","NA_English",English,M,9,2.6666666666666665,0,0.18313333333333337,0.18313333333333337,0.4226666666666667,0,5.494,5.494,12.68
1143,CAS,Yeli_Dnye,Yeli_Dnye,Yélî Dnye,M,8,6,0.11244444444444444,0.5655555555555556,0.5655555555555556,1.3535555555555556,2.6986666666666665,10.877333333333334,13.573333333333334,32.48533333333333
1156,ROW,UK_English,UK_English,British English,F,25,1.4666666666666666,0.13146666666666665,0.22293333333333332,0.22293333333333332,0.23353333333333337,3.944,2.744,6.688,7.006
1196,BER,"NA_English","NA_English",English,F,9,1.5333333333333334,0.01066666666666666,0.05066666666666666,0.05066666666666666,0.2932,0.31999999999999995,1.204,1.52,8.796
1299,ROS,Arg_Spanish,Arg_Spanish,Spanish,M,23,3.8666666666666663,0.0932,0.21813333333333337,0.21813333333333337,0.5185333333333333,2.7960000000000003,3.746,6.5440000000000005,15.556
1499,SOD,"NA_English","NA_English",French,F,32,3.933333333333333,0.09093333333333334,0.17353333333333332,0.17353333333333332,0.052,2.728,2.478,5.2059999999999995,1.56
1618,BER,"NA_English","NA_English",English,M,7,0.8666666666666667,0.05453333333333333,0.10766666666666666,0.10766666666666666,0.16086666666666669,1.636,1.594,3.23,4.8260000000000005
1735,ROW,UK_English,UK_English,British English,F,21,1.4666666666666666,0.1554,0.206,0.206,0.0658,4.662,1.518,6.18,1.974
