aclew_child_id,corp,group_corp,group_corpNE,language,child_sex,age_mo_round,segment,segment_dur,n_spkrs_clip.st,SpkrType,tds_min.st,ocds_min.st,cds_min.st,ads_min.st,tds_mph.st,ocds_mph.st,cds_mph.st,ads_mph.st
0396,BER,"NA_English","NA_English",English,F,15,1,2,0,Child,0,0,0,0,0,0,0,0
0396,BER,"NA_English","NA_English",English,F,15,1,2,0,Man,0,0,0,0,0,0,0,0
0396,BER,"NA_English","NA_English",English,F,15,1,2,1,Woman,0.399,0,0.399,0,11.97,0,11.97,0
0396,BER,"NA_English","NA_English",English,F,15,10,2,0,Child,0,0,0,0,0,0,0,0
0396,BER,"NA_English","NA_English",English,F,15,10,2,0,Man,0,0,0,0,0,0,0,0
0396,BER,"NA_English","NA_English",English,F,15,10,2,1,Woman,0.332,0,0.332,0,9.96,0,9.96,0
0396,BER,"NA_English","NA_English",English,F,15,11,2,0,Child,0,0,0,0,0,0,0,0
0396,BER,"NA_English","NA_English",English,F,15,11,2,0,Man,0,0,0,0,0,0,0,0
0396,BER,"NA_English","NA_English",English,F,15,11,2,1,Woman,0.045,0,0.045,0,1.35,0,1.35,0
0396,BER,"NA_English","NA_English",English,F,15,12,2,0,Child,0,0,0,0,0,0,0,0
0396,BER,"NA_English","NA_English",English,F,15,12,2,1,Man,0.006,0,0.006,0.142,0.18,0,0.18,4.26
0396,BER,"NA_English","NA_English",English,F,15,12,2,1,Woman,0.047,0,0.047,0.033,1.41,0,1.41,0.99
0396,BER,"NA_English","NA_English",English,F,15,13,2,0,Child,0,0,0,0,0,0,0,0
0396,BER,"NA_English","NA_English",English,F,15,13,2,0,Man,0,0,0,0,0,0,0,0
0396,BER,"NA_English","NA_English",English,F,15,13,2,1,Woman,0.094,0,0.094,0,2.82,0,2.82,0
0396,BER,"NA_English","NA_English",English,F,15,14,2,0,Child,0,0,0,0,0,0,0,0
0396,BER,"NA_English","NA_English",English,F,15,14,2,0,Man,0,0,0,0,0,0,0,0
0396,BER,"NA_English","NA_English",English,F,15,14,2,1,Woman,0.005,0,0.005,0,0.15,0,0.15,0
0396,BER,"NA_English","NA_English",English,F,15,15,2,0,Child,0,0,0,0,0,0,0,0
0396,BER,"NA_English","NA_English",English,F,15,15,2,0,Man,0,0,0,0,0,0,0,0
0396,BER,"NA_English","NA_English",English,F,15,15,2,1,Woman,0.106,0,0.106,0.056,3.1799999999999997,0,3.1799999999999997,1.68
0396,BER,"NA_English","NA_English",English,F,15,2,2,0,Child,0,0,0,0,0,0,0,0
0396,BER,"NA_English","NA_English",English,F,15,2,2,0,Man,0,0,0,0,0,0,0,0
0396,BER,"NA_English","NA_English",English,F,15,2,2,1,Woman,0.052,0,0.052,0,1.5599999999999998,0,1.5599999999999998,0
0396,BER,"NA_English","NA_English",English,F,15,3,2,0,Child,0,0,0,0,0,0,0,0
0396,BER,"NA_English","NA_English",English,F,15,3,2,0,Man,0,0,0,0,0,0,0,0
0396,BER,"NA_English","NA_English",English,F,15,3,2,0,Woman,0,0,0,0,0,0,0,0
0396,BER,"NA_English","NA_English",English,F,15,4,2,0,Child,0,0,0,0,0,0,0,0
0396,BER,"NA_English","NA_English",English,F,15,4,2,0,Man,0,0,0,0,0,0,0,0
0396,BER,"NA_English","NA_English",English,F,15,4,2,1,Woman,0.194,0,0.194,0,5.82,0,5.82,0
0396,BER,"NA_English","NA_English",English,F,15,5,2,1,Child,0,0,0,0.055,0,0,0,1.65
0396,BER,"NA_English","NA_English",English,F,15,5,2,1,Man,0.034,0,0.034,0.478,1.02,0,1.02,14.34
0396,BER,"NA_English","NA_English",English,F,15,5,2,1,Woman,0.061,0,0.061,0.089,1.83,0,1.83,2.67
0396,BER,"NA_English","NA_English",English,F,15,6,2,0,Child,0,0,0,0,0,0,0,0
0396,BER,"NA_English","NA_English",English,F,15,6,2,0,Man,0,0,0,0,0,0,0,0
0396,BER,"NA_English","NA_English",English,F,15,6,2,0,Woman,0,0,0,0,0,0,0,0
0396,BER,"NA_English","NA_English",English,F,15,7,2,0,Child,0,0,0,0,0,0,0,0
0396,BER,"NA_English","NA_English",English,F,15,7,2,0,Man,0,0,0,0,0,0,0,0
0396,BER,"NA_English","NA_English",English,F,15,7,2,1,Woman,0,0,0,0.638,0,0,0,19.14
0396,BER,"NA_English","NA_English",English,F,15,8,2,0,Child,0,0,0,0,0,0,0,0
0396,BER,"NA_English","NA_English",English,F,15,8,2,0,Man,0,0,0,0,0,0,0,0
0396,BER,"NA_English","NA_English",English,F,15,8,2,2,Woman,0.08,0,0.08,0.182,2.4,0,2.4,5.46
0396,BER,"NA_English","NA_English",English,F,15,9,2,0,Child,0,0,0,0,0,0,0,0
0396,BER,"NA_English","NA_English",English,F,15,9,2,0,Man,0,0,0,0,0,0,0,0
0396,BER,"NA_English","NA_English",English,F,15,9,2,0,Woman,0,0,0,0,0,0,0,0
0643,CAS,Tseltal,Tseltal,Tseltal,M,2,random-1,5,3,Child,0.094,0.106,0.2,0.585,1.128,1.272,2.4,7.02
0643,CAS,Tseltal,Tseltal,Tseltal,M,2,random-1,5,0,Man,0,0,0,0,0,0,0,0
0643,CAS,Tseltal,Tseltal,Tseltal,M,2,random-1,5,1,Woman,0,1.262,1.262,0,0,15.144,15.144,0
0643,CAS,Tseltal,Tseltal,Tseltal,M,2,random-2,5,0,Child,0,0,0,0,0,0,0,0
0643,CAS,Tseltal,Tseltal,Tseltal,M,2,random-2,5,0,Man,0,0,0,0,0,0,0,0
0643,CAS,Tseltal,Tseltal,Tseltal,M,2,random-2,5,2,Woman,0.149,0.079,0.227,0.303,1.788,0.948,2.724,3.636
0643,CAS,Tseltal,Tseltal,Tseltal,M,2,random-3,5,3,Child,0,0.766,0.766,0.648,0,9.192,9.192,7.776
0643,CAS,Tseltal,Tseltal,Tseltal,M,2,random-3,5,1,Man,0,0.222,0.222,0.079,0,2.664,2.664,0.948
0643,CAS,Tseltal,Tseltal,Tseltal,M,2,random-3,5,2,Woman,0.01,0.287,0.297,0.276,0.12,3.4439999999999995,3.5639999999999996,3.3120000000000003
0643,CAS,Tseltal,Tseltal,Tseltal,M,2,random-4,5,2,Child,0,0.065,0.065,0.122,0,0.78,0.78,1.464
0643,CAS,Tseltal,Tseltal,Tseltal,M,2,random-4,5,0,Man,0,0,0,0,0,0,0,0
0643,CAS,Tseltal,Tseltal,Tseltal,M,2,random-4,5,1,Woman,0,0.073,0.073,0,0,0.8759999999999999,0.8759999999999999,0
0643,CAS,Tseltal,Tseltal,Tseltal,M,2,random-5,5,2,Child,0,0.168,0.168,0.285,0,2.0160000000000005,2.0160000000000005,3.42
0643,CAS,Tseltal,Tseltal,Tseltal,M,2,random-5,5,1,Man,0,0.136,0.136,0,0,1.632,1.632,0
0643,CAS,Tseltal,Tseltal,Tseltal,M,2,random-5,5,1,Woman,0,0.534,0.534,0,0,6.408,6.408,0
0643,CAS,Tseltal,Tseltal,Tseltal,M,2,random-6,5,2,Child,0.028,0,0.028,0.254,0.336,0,0.336,3.048
0643,CAS,Tseltal,Tseltal,Tseltal,M,2,random-6,5,0,Man,0,0,0,0,0,0,0,0
0643,CAS,Tseltal,Tseltal,Tseltal,M,2,random-6,5,2,Woman,0.009,0.242,0.251,0.046,0.108,2.904,3.012,0.552
0643,CAS,Tseltal,Tseltal,Tseltal,M,2,random-7,5,3,Child,0,0.141,0.141,0.656,0,1.6919999999999995,1.6919999999999995,7.872000000000001
0643,CAS,Tseltal,Tseltal,Tseltal,M,2,random-7,5,0,Man,0,0,0,0,0,0,0,0
0643,CAS,Tseltal,Tseltal,Tseltal,M,2,random-7,5,2,Woman,0,0.274,0.274,0.451,0,3.2880000000000003,3.2880000000000003,5.412
0643,CAS,Tseltal,Tseltal,Tseltal,M,2,random-8,5,3,Child,0.087,0.414,0.501,0.638,1.044,4.968,6.012,7.656
0643,CAS,Tseltal,Tseltal,Tseltal,M,2,random-8,5,0,Man,0,0,0,0,0,0,0,0
0643,CAS,Tseltal,Tseltal,Tseltal,M,2,random-8,5,2,Woman,0.228,0.908,1.135,0,2.736,10.896,13.62,0
0643,CAS,Tseltal,Tseltal,Tseltal,M,2,random-9,5,2,Child,0.005,0.065,0.069,1.02,0.06,0.78,0.8280000000000001,12.24
0643,CAS,Tseltal,Tseltal,Tseltal,M,2,random-9,5,1,Man,0,0.141,0.141,0.461,0,1.6919999999999995,1.6919999999999995,5.532
0643,CAS,Tseltal,Tseltal,Tseltal,M,2,random-9,5,1,Woman,0.009,0.428,0.437,0.382,0.108,5.136,5.244000000000001,4.584
0790,ROS,Arg_Spanish,Arg_Spanish,Spanish,F,12,1,2,0,Child,0,0,0,0,0,0,0,0
0790,ROS,Arg_Spanish,Arg_Spanish,Spanish,F,12,1,2,0,Man,0,0,0,0,0,0,0,0
0790,ROS,Arg_Spanish,Arg_Spanish,Spanish,F,12,1,2,1,Woman,0.119,0,0.119,0,3.57,0,3.57,0
0790,ROS,Arg_Spanish,Arg_Spanish,Spanish,F,12,10,2,2,Child,0.009,0.201,0.21,0.152,0.26999999999999996,6.03,6.3,4.56
0790,ROS,Arg_Spanish,Arg_Spanish,Spanish,F,12,10,2,2,Man,0.025,0,0.025,0.073,0.75,0,0.75,2.19
0790,ROS,Arg_Spanish,Arg_Spanish,Spanish,F,12,10,2,1,Woman,0.064,0.312,0.376,0.187,1.92,9.36,11.28,5.61
0790,ROS,Arg_Spanish,Arg_Spanish,Spanish,F,12,11,2,0,Child,0,0,0,0,0,0,0,0
0790,ROS,Arg_Spanish,Arg_Spanish,Spanish,F,12,11,2,0,Man,0,0,0,0,0,0,0,0
0790,ROS,Arg_Spanish,Arg_Spanish,Spanish,F,12,11,2,1,Woman,0.61,0,0.61,0,18.3,0,18.3,0
0790,ROS,Arg_Spanish,Arg_Spanish,Spanish,F,12,12,2,2,Child,0,0.017,0.017,0,0,0.51,0.51,0
0790,ROS,Arg_Spanish,Arg_Spanish,Spanish,F,12,12,2,0,Man,0,0,0,0,0,0,0,0
0790,ROS,Arg_Spanish,Arg_Spanish,Spanish,F,12,12,2,1,Woman,0.523,0,0.523,0,15.69,0,15.69,0
0790,ROS,Arg_Spanish,Arg_Spanish,Spanish,F,12,13,2,1,Child,0,0,0,0,0,0,0,0
0790,ROS,Arg_Spanish,Arg_Spanish,Spanish,F,12,13,2,0,Man,0,0,0,0,0,0,0,0
0790,ROS,Arg_Spanish,Arg_Spanish,Spanish,F,12,13,2,1,Woman,0.303,0,0.303,0,9.09,0,9.09,0
0790,ROS,Arg_Spanish,Arg_Spanish,Spanish,F,12,14,2,0,Child,0,0,0,0,0,0,0,0
0790,ROS,Arg_Spanish,Arg_Spanish,Spanish,F,12,14,2,0,Man,0,0,0,0,0,0,0,0
0790,ROS,Arg_Spanish,Arg_Spanish,Spanish,F,12,14,2,1,Woman,0.407,0,0.407,0,12.21,0,12.21,0
0790,ROS,Arg_Spanish,Arg_Spanish,Spanish,F,12,15,2,2,Child,0,0,0,0.008,0,0,0,0.24
0790,ROS,Arg_Spanish,Arg_Spanish,Spanish,F,12,15,2,1,Man,0.195,0,0.195,0,5.8500000000000005,0,5.8500000000000005,0
0790,ROS,Arg_Spanish,Arg_Spanish,Spanish,F,12,15,2,1,Woman,0.039,0,0.039,0,1.17,0,1.17,0
0790,ROS,Arg_Spanish,Arg_Spanish,Spanish,F,12,2,2,0,Child,0,0,0,0,0,0,0,0
0790,ROS,Arg_Spanish,Arg_Spanish,Spanish,F,12,2,2,2,Man,0.02,0,0.02,0.145,0.6,0,0.6,4.35
0790,ROS,Arg_Spanish,Arg_Spanish,Spanish,F,12,2,2,1,Woman,0,0,0,0.619,0,0,0,18.57
0790,ROS,Arg_Spanish,Arg_Spanish,Spanish,F,12,3,2,0,Child,0,0,0,0,0,0,0,0
0790,ROS,Arg_Spanish,Arg_Spanish,Spanish,F,12,3,2,2,Man,0.288,0,0.288,0.293,8.639999999999999,0,8.639999999999999,8.79
0790,ROS,Arg_Spanish,Arg_Spanish,Spanish,F,12,3,2,1,Woman,0.017,0,0.017,0.119,0.51,0,0.51,3.57
0790,ROS,Arg_Spanish,Arg_Spanish,Spanish,F,12,4,2,0,Child,0,0,0,0,0,0,0,0
0790,ROS,Arg_Spanish,Arg_Spanish,Spanish,F,12,4,2,1,Man,0.459,0,0.459,0,13.77,0,13.77,0
0790,ROS,Arg_Spanish,Arg_Spanish,Spanish,F,12,4,2,0,Woman,0,0,0,0,0,0,0,0
0790,ROS,Arg_Spanish,Arg_Spanish,Spanish,F,12,5,2,2,Child,0,0.024,0.024,0.908,0,0.72,0.72,27.24
0790,ROS,Arg_Spanish,Arg_Spanish,Spanish,F,12,5,2,1,Man,0.156,0.331,0.486,0,4.68,9.93,14.58,0
0790,ROS,Arg_Spanish,Arg_Spanish,Spanish,F,12,5,2,1,Woman,0.003,0.098,0.101,0,0.09,2.94,3.03,0
0790,ROS,Arg_Spanish,Arg_Spanish,Spanish,F,12,6,2,0,Child,0,0,0,0,0,0,0,0
0790,ROS,Arg_Spanish,Arg_Spanish,Spanish,F,12,6,2,0,Man,0,0,0,0,0,0,0,0
0790,ROS,Arg_Spanish,Arg_Spanish,Spanish,F,12,6,2,1,Woman,0.304,0,0.304,0,9.12,0,9.12,0
0790,ROS,Arg_Spanish,Arg_Spanish,Spanish,F,12,7,2,4,Child,0,0.184,0.184,0,0,5.52,5.52,0
0790,ROS,Arg_Spanish,Arg_Spanish,Spanish,F,12,7,2,2,Man,0,0.05,0.05,0,0,1.5,1.5,0
0790,ROS,Arg_Spanish,Arg_Spanish,Spanish,F,12,7,2,2,Woman,0,0,0,1.337,0,0,0,40.11
0790,ROS,Arg_Spanish,Arg_Spanish,Spanish,F,12,8,2,0,Child,0,0,0,0,0,0,0,0
0790,ROS,Arg_Spanish,Arg_Spanish,Spanish,F,12,8,2,1,Man,0.353,0,0.353,0,10.59,0,10.59,0
